epoch,train_loss,train_acc,test_loss,test_acc
1,0.527799,84.0520,0.203602,93.8600
2,0.381505,89.2020,0.183722,94.9600
3,0.381568,89.7680,0.178810,94.6700
4,0.379865,90.0140,0.203533,94.4300
5,0.358654,90.7800,0.175670,95.2600
6,0.348515,91.2700,0.213821,94.4800
7,0.343597,91.4100,0.222880,94.4000
8,0.358557,91.1760,0.194304,94.5100
9,0.326152,92.0220,0.179607,95.0100
10,0.341118,91.7120,0.188689,95.1700
11,0.308719,92.4740,0.191183,95.2700
12,0.323864,92.4560,0.208581,94.8500
13,0.317968,92.5000,0.193476,95.0300
14,0.326824,92.2100,0.197769,94.8800
15,0.330667,92.2740,0.208830,94.6600
16,0.309162,92.6200,0.194618,94.9700
17,0.319714,92.6700,0.217044,95.0200
18,0.305511,92.7040,0.185374,95.3400
19,0.299913,92.9440,0.201843,95.4000
20,0.293759,93.0780,0.195419,95.1100
21,0.283217,93.2840,0.191396,95.1900
22,0.284348,93.2740,0.173926,95.8100
23,0.287906,93.2180,0.196901,95.2600
24,0.294092,93.2620,0.208812,95.4700
25,0.301667,92.9840,0.197580,95.3000
26,0.297995,93.2100,0.215552,95.2500
27,0.291897,93.3380,0.201787,95.1700
28,0.280793,93.5880,0.180018,95.7100
29,0.265607,93.8880,0.194288,95.4600
30,0.281800,93.6360,0.191794,95.4300
31,0.263828,94.0140,0.195445,95.4600
32,0.259436,94.1700,0.188780,95.8100
33,0.270719,94.0540,0.201595,95.6200
34,0.278022,93.8300,0.181285,95.8800
35,0.260794,93.9940,0.185794,95.7800
36,0.253742,94.3080,0.182318,95.8100
37,0.264787,93.9660,0.189614,95.7700
38,0.262921,94.0020,0.189843,95.9900
39,0.262854,94.1360,0.172134,95.5200
40,0.253590,94.3740,0.179967,95.7800
