epoch,train_loss,train_acc,test_loss,test_acc
1,0.339428,89.8140,0.131635,95.9100
2,0.104984,96.6860,0.095117,97.2100
3,0.074008,97.6080,0.100515,96.9800
4,0.055298,98.1820,0.095257,97.2800
5,0.038793,98.6980,0.091343,97.4100
6,0.036004,98.7800,0.086452,97.6100
7,0.029797,99.0000,0.104971,97.3400
8,0.026195,99.1480,0.089349,97.7400
9,0.019886,99.3280,0.107059,97.5700
10,0.019840,99.3540,0.112695,97.5300
11,0.017525,99.4700,0.098709,98.0200
12,0.012544,99.5840,0.094774,98.2300
13,0.007839,99.7320,0.102737,98.0200
14,0.006680,99.7920,0.091168,98.3100
15,0.002731,99.9220,0.091819,98.3000
16,0.006314,99.8060,0.100386,98.2000
17,0.009150,99.7240,0.129692,97.8400
18,0.010575,99.6960,0.112493,97.8700
19,0.005744,99.8160,0.110916,97.9700
20,0.004369,99.8600,0.110072,98.0700
21,0.005953,99.8100,0.107459,98.1200
22,0.016650,99.5100,0.144617,97.3600
23,0.009203,99.7080,0.103630,98.0500
24,0.016600,99.5420,0.158496,97.4000
25,0.012985,99.6500,0.117269,97.8400
26,0.007471,99.7520,0.111279,98.1100
27,0.010521,99.7120,0.106977,98.1000
28,0.007223,99.8060,0.111140,98.0900
29,0.002174,99.9400,0.109118,98.2000
30,0.000356,99.9940,0.101465,98.3400
31,0.000053,100.0000,0.101665,98.3600
32,0.000030,100.0000,0.102119,98.3700
33,0.000025,100.0000,0.102624,98.3700
34,0.000022,100.0000,0.103076,98.3700
35,0.000019,100.0000,0.103482,98.3700
36,0.000018,100.0000,0.103888,98.3800
37,0.000016,100.0000,0.104220,98.3800
38,0.000015,100.0000,0.104574,98.3800
39,0.000014,100.0000,0.104915,98.3900
40,0.000013,100.0000,0.105211,98.3900
41,0.000012,100.0000,0.105523,98.3900
42,0.000012,100.0000,0.105761,98.3900
43,0.000011,100.0000,0.106011,98.3900
44,0.000011,100.0000,0.106243,98.3900
45,0.000010,100.0000,0.106492,98.3900
46,0.000010,100.0000,0.106732,98.3900
47,0.000009,100.0000,0.106949,98.3900
48,0.000009,100.0000,0.107166,98.3900
49,0.000009,100.0000,0.107370,98.3900
50,0.000008,100.0000,0.107564,98.3900
51,0.000008,100.0000,0.107759,98.3900
52,0.000008,100.0000,0.107937,98.3900
53,0.000007,100.0000,0.108109,98.3900
54,0.000007,100.0000,0.108290,98.3900
55,0.000007,100.0000,0.108451,98.3900
56,0.000007,100.0000,0.108617,98.3900
57,0.000007,100.0000,0.108773,98.3900
58,0.000006,100.0000,0.108924,98.3900
59,0.000006,100.0000,0.109088,98.3900
60,0.000006,100.0000,0.109249,98.3900
61,0.000006,100.0000,0.109385,98.4000
62,0.000006,100.0000,0.109529,98.4000
63,0.000006,100.0000,0.109655,98.4000
64,0.000006,100.0000,0.109801,98.4000
65,0.000005,100.0000,0.109937,98.4000
66,0.000005,100.0000,0.110067,98.4000
67,0.000005,100.0000,0.110195,98.4000
68,0.000005,100.0000,0.110319,98.4000
69,0.000005,100.0000,0.110448,98.4000
70,0.000005,100.0000,0.110576,98.4000
